,loss,accuracy,top_3_accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_3_accuracy,val_top_5_accuracy
0,2.4306693077087402,0.3652891218662262,0.6035460829734802,0.6938445568084717,2.4875147342681885,0.36047178506851196,0.6172021627426147,0.7256922125816345
1,1.6724165678024292,0.4909816384315491,0.762326717376709,0.8490369319915771,2.4541702270507812,0.38413816690444946,0.6476084589958191,0.7499330043792725
2,1.5395067930221558,0.5219933390617371,0.7950511574745178,0.8760393857955933,2.685391664505005,0.39041855931282043,0.659403383731842,0.7601960897445679
3,1.4613889455795288,0.5398386716842651,0.812561571598053,0.8895118832588196,2.7199442386627197,0.4012177884578705,0.6638072729110718,0.756213366985321
4,1.4178355932235718,0.5532537698745728,0.8236324191093445,0.8980087637901306,2.731384038925171,0.4041665196418762,0.6687856912612915,0.7647914886474609
5,1.3905630111694336,0.55970299243927,0.8309714794158936,0.9032906293869019,2.8966963291168213,0.4087619185447693,0.6615095734596252,0.7577452063560486
6,1.3654301166534424,0.5692141056060791,0.8374302983283997,0.9079696536064148,2.9282474517822266,0.41262972354888916,0.6706621050834656,0.7640638947486877
7,1.34331476688385,0.5760461091995239,0.8433627486228943,0.9115099906921387,2.993797779083252,0.39524373412132263,0.6509784460067749,0.7508903741836548
8,1.3360425233840942,0.5809069275856018,0.8441378474235535,0.9124477505683899,3.147895574569702,0.4285604953765869,0.6698196530342102,0.7634894251823425
9,1.321165680885315,0.5838444828987122,0.848922073841095,0.9151843190193176,3.1513874530792236,0.40060505270957947,0.6583310961723328,0.758319616317749
10,1.3111470937728882,0.5880833268165588,0.8520606160163879,0.9178730845451355,3.253537893295288,0.4066174030303955,0.6653007864952087,0.757706880569458
11,1.294066309928894,0.5919203162193298,0.8550938367843628,0.9184567928314209,3.361957311630249,0.41060009598731995,0.6669474840164185,0.7581281065940857
12,1.2963720560073853,0.5923221707344055,0.8572180271148682,0.9207532405853271,3.4616453647613525,0.40543025732040405,0.6618159413337708,0.7607321739196777
13,1.2836992740631104,0.5964558124542236,0.8590264916419983,0.9204374551773071,3.6321465969085693,0.4189484119415283,0.6602075695991516,0.7557921409606934
14,1.281685471534729,0.5977188348770142,0.8600311875343323,0.9217388033866882,3.5644521713256836,0.40137097239494324,0.6503274440765381,0.7416229248046875
