,loss,accuracy,top_3_accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_3_accuracy,val_top_5_accuracy
0,1.832629680633545,0.4723612368106842,0.7303294539451599,0.81570965051651,1.9727295637130737,0.4653237760066986,0.7232412695884705,0.8155325055122375
1,1.267881989479065,0.5840549468994141,0.8549215793609619,0.9213177561759949,2.0149219036102295,0.47956955432891846,0.7521541118621826,0.8389307856559753
2,1.156574010848999,0.611066997051239,0.8783071041107178,0.9378905296325684,1.9787455797195435,0.4941982924938202,0.7724887728691101,0.8504576086997986
3,1.0953855514526367,0.6280033588409424,0.8884593844413757,0.944291889667511,2.0248312950134277,0.4894114136695862,0.7654808163642883,0.8534063696861267
4,1.0474492311477661,0.6375048756599426,0.8990421891212463,0.9524059891700745,2.0863585472106934,0.48539042472839355,0.7621490955352783,0.8480833172798157
5,1.0195786952972412,0.6460878849029541,0.9041613936424255,0.9534298777580261,1.9973578453063965,0.4999042749404907,0.7741354703903198,0.855857253074646
6,0.9914655685424805,0.6531303524971008,0.9097111225128174,0.9575825929641724,2.039156675338745,0.5041550397872925,0.7755141258239746,0.8550147414207458
7,0.9722738265991211,0.6572065353393555,0.9134524464607239,0.9606636762619019,2.136665105819702,0.4955769181251526,0.7701528072357178,0.8511852622032166
8,0.9509208798408508,0.6632634401321411,0.917279839515686,0.9622998833656311,2.2278592586517334,0.4781143367290497,0.7698464393615723,0.849155604839325
9,0.9372828602790833,0.6667177081108093,0.9193370938301086,0.9647398591041565,2.2022242546081543,0.4921303689479828,0.7745950222015381,0.853253185749054
10,0.9283615350723267,0.6697030663490295,0.9219205975532532,0.9648929834365845,2.3146393299102783,0.4827480614185333,0.7675104141235352,0.8514149785041809
11,0.9102587699890137,0.6742385625839233,0.9253939986228943,0.9672276973724365,2.2088496685028076,0.5040018558502197,0.7766629457473755,0.8578102588653564
12,0.9037526249885559,0.6760470271110535,0.9267240166664124,0.9676200151443481,2.30389142036438,0.49052196741104126,0.7736759185791016,0.8551679253578186
13,0.8949229717254639,0.6789654493331909,0.9273268580436707,0.9684620499610901,2.267512321472168,0.48711368441581726,0.7734078764915466,0.8547083735466003
14,0.8838660717010498,0.6799318790435791,0.930293083190918,0.9707010984420776,2.2405238151550293,0.503848671913147,0.7821008563041687,0.8593037724494934
