,loss,accuracy,top_3_accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_3_accuracy,val_top_5_accuracy
0,1.8931156396865845,0.4414834976196289,0.7105129957199097,0.8049067258834839,2.0964789390563965,0.42810094356536865,0.7033278346061707,0.8079883456230164
1,1.156929850578308,0.6049335598945618,0.8779626488685608,0.9427800178527832,2.0036277770996094,0.47753992676734924,0.7635660171508789,0.8507257103919983
2,0.9821120500564575,0.6495134234428406,0.9102469682693481,0.9617066383361816,1.96055006980896,0.48745834827423096,0.7662850022315979,0.8533680438995361
3,0.8854410648345947,0.675291121006012,0.927460789680481,0.9718301892280579,1.900344967842102,0.5134990215301514,0.7833645939826965,0.8637843132019043
4,0.8162323832511902,0.6933852434158325,0.938952624797821,0.9778392314910889,1.9939632415771484,0.5096695423126221,0.7823306322097778,0.8627120852470398
5,0.7657721638679504,0.7084078788757324,0.9473825097084045,0.9815996885299683,2.021127223968506,0.5085206627845764,0.7875387668609619,0.8676904439926147
6,0.7268960475921631,0.7197275161743164,0.9531523585319519,0.9843649864196777,2.123028039932251,0.5026615262031555,0.7873089909553528,0.8702561855316162
7,0.6946383714675903,0.7289133071899414,0.9588456749916077,0.9864509105682373,2.1051197052001953,0.5035039782524109,0.7873855829238892,0.8697583675384521
8,0.668480396270752,0.7367786765098572,0.9626635313034058,0.9888430833816528,2.0477898120880127,0.5115459561347961,0.7963083386421204,0.8766897916793823
9,0.6472915410995483,0.7429121136665344,0.9657445549964905,0.9898477792739868,2.1181588172912598,0.5151839852333069,0.7912151217460632,0.8726304769515991
10,0.6276722550392151,0.7497249245643616,0.9678400754928589,0.9915892481803894,2.135603427886963,0.521004855632782,0.7991039156913757,0.877991795539856
11,0.614704966545105,0.7515620589256287,0.9703566431999207,0.9916562438011169,2.107511520385742,0.5201623439788818,0.8001378774642944,0.8782981634140015
12,0.6031604409217834,0.7572266459465027,0.9718684554100037,0.9923834204673767,2.178863525390625,0.5180561542510986,0.8005591034889221,0.878336489200592
13,0.5890644192695618,0.7601929306983948,0.9729401469230652,0.9932159185409546,2.218724489212036,0.5097460746765137,0.7979933619499207,0.8773790597915649
14,0.5772208571434021,0.7651685476303101,0.9746720194816589,0.9937134385108948,2.260169267654419,0.5189369320869446,0.7953127026557922,0.8767280578613281
